,Event_ID,Year,Country_Code,Country_Name,Latitude,Longitude,Type,Death_Toll,Severity
0,1000,1966,TKL,Tokelau,-8.967363,-171.855881,Storm,20,
1,1001,2014,CHN,China,35.86166,104.195397,Storm,20,Medium Risk
2,1002,2010,CHN,China,35.86166,104.195397,Earthquake,20,Medium Risk
3,1003,1999,SDN,Sudan,12.862807,30.217636,Epidemic,102,High Risk
4,1004,1909,CHN,China,35.86166,104.195397,Earthquake,21,Medium Risk
5,1005,2000,CHN,China,35.86166,104.195397,Storm,6,Medium Risk
6,1006,2019,NZL,New Zealand,-40.900557,174.885971,Volcanic activity,21,Low Risk
7,1007,1985,YUG,Yugoslavia,0.0,0.0,Earthquake,20,
8,1008,1975,BRA,Brazil,-14.235004,-51.92528,Flood,118,Low Risk
9,1009,2002,EGY,Egypt,26.820553,30.802498,Earthquake,20,Very Low Risk
10,1010,2015,AFG,Afghanistan,33.93911,67.709953,Earthquake,115,Very High Risk
11,1011,2018,ITA,Italy,41.87194,12.56738,Extreme temperature ,1,Low Risk
12,1012,2002,SYR,Syrian Arab Republic,34.802075,38.996815,Landslide,80,Medium Risk
13,1013,1917,IDN,Indonesia,-0.789275,113.921327,Earthquake,15000,Very High Risk
14,1014,2006,SOM,Somalia,5.152149,46.199616,Flood,35,
15,1015,2013,BRA,Brazil,-14.235004,-51.92528,Flood,19,Low Risk
16,1016,1978,CHN,China,35.86166,104.195397,Drought,20,Medium Risk
17,1017,2013,LAO,Laos,19.85627,102.495496,Flood,3,Medium Risk
18,1018,1949,USA,United States,37.09024,-95.712891,Earthquake,8,Low Risk
19,1019,2006,SOM,Somalia,5.152149,46.199616,Flood,5,
20,1020,1999,MMR,Myanmar,21.913965,95.956223,Flood,22,High Risk
21,1021,1992,CMR,Cameroon,7.369722,12.354722,Epidemic,731,Very High Risk
22,1022,1994,MEX,Mexico,23.634501,-102.552784,Volcanic activity,20,Medium Risk
23,1023,2015,TGO,Togo,8.619543,0.824782,Epidemic,24,High Risk
24,1024,2015,PHL,Philippines,12.879721,121.774017,Storm,51,Very High Risk
25,1025,2021,LSO,Lesotho,-29.609988,28.233608,Storm,20,Medium Risk
26,1026,2004,SVK,Slovakia,48.669026,19.699024,Flood,1,Very Low Risk
27,1027,1993,IND,India,20.593684,78.96288,Flood,827,Medium Risk
28,1028,1995,BRA,Brazil,-14.235004,-51.92528,Flood,2,Low Risk
29,1029,1995,ARG,Argentina,-38.416097,-63.616672,Flood,20,Low Risk
30,1030,2020,SRB,Serbia,44.016521,21.005859,Flood,20,Medium Risk
31,1031,1983,AUS,Australia,-25.274398,133.775136,Storm,20,Low Risk
32,1032,1998,JPN,Japan,36.204824,138.252924,Storm,12,Very High Risk
33,1033,2007,JAM,Jamaica,18.109581,-77.297508,Storm,1,Very High Risk
34,1034,2006,COD,Congo,-4.038333,21.758664,Flood,20,Medium Risk
35,1035,1994,AUS,Australia,-25.274398,133.775136,Extreme temperature ,5,Low Risk
36,1036,2011,GHA,Ghana,7.946527,-1.023194,Epidemic,101,High Risk
37,1037,1992,ETH,Ethiopia,9.145,40.489673,Insect infestation,20,Medium Risk
38,1038,1965,TWN,Taiwan,23.69781,120.960515,Storm,24,
39,1039,2011,THA,Thailand,15.870032,100.992541,Epidemic,27,Medium Risk
40,1040,2010,IRN,Iran,32.427908,53.688046,Earthquake,7,Low Risk
41,1041,2019,TZA,Tanzania,-6.369028,34.888822,Epidemic,3,High Risk
42,1042,1995,HND,Honduras,15.199999,-86.241905,Flood,14,Very High Risk
43,1043,2020,GTM,Guatemala,15.783471,-90.230759,Storm,2,Very High Risk
44,1044,1995,AZE,Azerbaijan,40.143105,47.576927,Flood,5,Medium Risk
45,1045,2012,MOZ,Mozambique,-18.665695,35.529562,Storm,20,High Risk
46,1046,2013,IRN,Iran,32.427908,53.688046,Earthquake,37,Low Risk
47,1047,1998,SDN,Sudan,12.862807,30.217636,Epidemic,107,High Risk
48,1048,1929,DFR,Germany Fed Rep,0.0,0.0,Storm,20,
49,1049,1986,LKA,Sri Lanka,7.873054,80.771797,Flood,43,High Risk
50,1050,1961,HND,Honduras,15.199999,-86.241905,Storm,275,Very High Risk
51,1051,2012,ROU,Romania,45.943161,24.96676,Extreme temperature ,86,Medium Risk
52,1052,2005,POL,Poland,51.919438,19.145136,Extreme temperature ,191,Very Low Risk
53,1053,2001,USA,United States,37.09024,-95.712891,Extreme temperature ,56,Low Risk
54,1054,1963,JPN,Japan,36.204824,138.252924,Storm,20,Very High Risk
55,1055,1998,RUS,Russia,61.52401,105.318756,Flood,13,Low Risk
56,1056,2019,PAK,Pakistan,30.375321,69.345116,Flood,64,Medium Risk
57,1057,2004,CHN,China,35.86166,104.195397,Earthquake,4,Medium Risk
58,1058,2021,ESP,Spain,40.463667,-3.74922,Flood,20,Very Low Risk
59,1059,2017,IND,India,20.593684,78.96288,Landslide,22,Medium Risk
